ts,size,n,m,p,totaltime
1718567914368,9,100,100,100,2267
1718567929032,9,100,100,100,2379
1718567942824,9,100,100,100,2523
1718567956680,9,100,100,100,2205
1718567970200,9,100,100,100,2453
1718567983796,9,100,100,100,2263
1718567997184,9,100,100,100,2519
1718568010924,9,100,100,100,2396
1718568024524,9,100,100,100,2305
1718568037884,9,100,100,100,2525
1718568052100,9,100,100,100,2393
1718568066144,9,100,100,100,2373
1718568081064,9,100,100,100,2400
1718568094420,9,100,100,100,2606
1718568109572,9,100,100,100,2455
1718568123272,9,100,100,100,2567
1718568137908,9,100,100,100,2435
1718568151528,9,100,100,100,2528
1718568165160,9,100,100,100,2425
1718568179076,9,100,100,100,2226
1718568192392,9,100,100,100,2119
1718568205724,9,100,100,100,2268
1718568219616,9,100,100,100,2496
